512	1	11.0705
512	2	11.0487
512	4	11.0311
512	8	11.0906
512	16	11.0719
512	32	11.0575
512	64	11.2358
512	128	11.0364
512	256	11.0522
512	512	11.4597
512	1024	11.1713
1024	1	11.2467
1024	2	11.4143
1024	4	10.7301
1024	8	10.6749
1024	16	10.862
1024	32	10.8352
1024	64	10.8579
1024	128	10.7133
1024	256	10.7153
1024	512	10.8367
1024	1024	10.9024
2048	1	10.3064
2048	2	10.3808
2048	4	10.7961
2048	8	11.0245
2048	16	11.0524
2048	32	11.0698
2048	64	11.2731
2048	128	11.104
2048	256	11.3189
2048	512	10.9112
2048	1024	10.6053
4096	1	10.9614
4096	2	11.3349
4096	4	10.9934
4096	8	10.7313
4096	16	11.0526
4096	32	10.3367
4096	64	10.7547
4096	128	10.4101
4096	256	10.9947
4096	512	10.3583
4096	1024	10.2232
8192	1	11.8168
8192	2	12.7938
8192	4	12.992
8192	8	13.7859
8192	16	15.1404
8192	32	12.0785
8192	64	11.0199
8192	128	10.6468
8192	256	10.5723
8192	512	9.9328
8192	1024	10.4938
16384	1	9.34822
16384	2	10.323
16384	4	15.0414
16384	8	12.8471
16384	16	16.3652
16384	32	20.2033
16384	64	12.0029
16384	128	14.9378
16384	256	14.6124
16384	512	17.8538
16384	1024	16.036
32768	1	9.2412
32768	2	8.57664
32768	4	9.94794
32768	8	8.90164
32768	16	14.6579
32768	32	12.8073
32768	64	13.4542
32768	128	13.014
32768	256	14.5147
32768	512	18.0116
32768	1024	18.4936
65536	1	9.262
65536	2	8.58486
65536	4	9.19724
65536	8	8.81046
65536	16	14.135
65536	32	13.1254
65536	64	15.831
65536	128	16.2579
65536	256	20.3604
65536	512	26.2737
65536	1024	23.0776
131072	1	8.73364
131072	2	8.93526
131072	4	8.7132
131072	8	10.4336
131072	16	13.5544
131072	32	14.7104
131072	64	23.285
131072	128	23.833
131072	256	33.9146
131072	512	34.9225
131072	1024	38.7057
262144	1	9.00276
262144	2	8.72948
262144	4	8.82492
262144	8	9.62652
262144	16	13.6222
262144	32	15.3116
262144	64	22.7736
262144	128	27.7039
262144	256	30.2876
262144	512	37.5094
262144	1024	50.8246
524288	1	8.7647
524288	2	10.1969
524288	4	10.4228
524288	8	9.0945
524288	16	12.7783
524288	32	15.1805
524288	64	23.0627
524288	128	26.1198
524288	256	30.5516
524288	512	35.9972
524288	1024	41.0594
1048576	1	9.0891
1048576	2	8.76844
1048576	4	9.067
1048576	8	9.6041
1048576	16	14.9023
1048576	32	27.5328
1048576	64	62.2875
1048576	128	38.4834
1048576	256	45.0198
1048576	512	57.2724
1048576	1024	64.7899
2097152	1	8.90956
2097152	2	9.09662
2097152	4	9.51444
2097152	8	10.189
2097152	16	22.7249
2097152	32	39.275
2097152	64	46.6731
2097152	128	87.2658
2097152	256	85.9612
2097152	512	140.419
2097152	1024	190.505
4194304	1	11.2218
4194304	2	10.3535
4194304	4	9.82472
4194304	8	12.6005
4194304	16	18.0872
4194304	32	53.3989
4194304	64	91.3614
4194304	128	98.2978
4194304	256	127.595
4194304	512	160.689
4194304	1024	212.161
8388608	1	9.10718
8388608	2	9.31766
8388608	4	10.2642
8388608	8	12.1365
8388608	16	18.6427
8388608	32	48.8777
8388608	64	97.7249
8388608	128	109.989
8388608	256	131.732
8388608	512	187.237
8388608	1024	207.876
